Index	Los PJs deben	objeto	personaje	complicación	Protagonista	Desea	enemigo	Enfrenta	Necesita	Al final	lugar	objeto	adj	adj2	Medieval - Taberna - Nombre	Medieval - Taberna - Adjetivo	Comida 1	Comida 2	Comida 3	bebida 1	bebida 2	Trampas - Elemento	Trampas - Acción	Trampas - Desencadenante	PNJ profesion	PNJ Origen	PNJ Carácter	PNJ Aspecto	PNJ Especial	Medieval - Personaje	Medieval - Acción	Medieval - Lugar	Medieval - Objeto	Medieval - Evento	Medieval - Criatura	Medieval - Organización	Dungeon - Objeto	Dungeon - Evento	Dungeon - tipo	símbolo - obj	escudo - color	escudo - campo	símbolo - color	Trama PNJ 1	Trama PNJ 2	deidad - ambitos	deidad - adorador	deidad - sacerdotes	deidad - ritos	deidad-arquitectura	poción - textura	poción - tipo	poción - efecto secundario	lugar - color	lugar - nom	lugar - ref	objeto	adj_norm	Nombres - FR - Male
11	destruir	un diario	un bárbaro	encontrarán peligros en el camino	un zorro	tener más	un guerrero avaricioso	sus propios miedos	una espada	descubre que todo es un sueño	un laberinto	el orbe	nocturno	del brujo	El Arcón	Ardiente	un cocido	gallo	romero	una bebida	ciruela	Lanza	Desintegrar	Bisagra	explorador	occidental	alegre	es cadavérico	canta de maravilla	Albacea	Advertir	Altar	Anillo	Aniversario	Aranea	Caravana	una tumba	está todo sucio	túnel	una hoz	de bronce	de bronce	aguamarina	un albacea	quiere dejar de trabajar para	duda	alquimistas	llevar armas	meditación guiada	con un círculo mágico	viene en un vial metálico	Este bebedizo	deja un tono de piel peculiar	Puedes ver	el claro	del ocaso	el anillo	nocturno|nocturna|nocturnos|nocturnas	Therth
12	averiguar	una carta	un montaraz	nadie sabe dónde está	el rajá	ser tomado en serio	un asesino	su falta de coraje	ayuda de un dios	descubre que todo es mentira	unas cavernas	la esfera	diabólico	de la muerte	El Armario	Árido	una cazuela	pollo	pimienta	un brebaje	cereza	Bola de roca	Desmembrar	Tapa	druida	extranjero	alocado	es calvo	cecea	Alcalde	Ahuyentar	Antiguo	Antorcha	Apertura	Araña	Casa	una trampilla 	está todo roto	bodega	una hoguera	de cobre	de cobre	musgo	un alcalde	busca una alianza con	certeza	sabios	llevar armadura	entrenamiento	con una única nave	viene en un tarro de hueso	Este líquido	ralentiza	Divisas	el río	del mediodía	el ara	diabólico|diabólica|diabólicos|diabólicas	Rovyn
13	encontrar	un edicto	un druida	es imposible hacerlo sin llamar la atención	un hada	deshacer un hechizo	un bandido	su hermano/a	ayuda	descubre un mundo de fantasía	un palacio	la capa	último	del amanecer	El Armario	Aromático	un puré	gallina	salvia	un ron	pétalos	Caída de peso	Decapitar	Agujero	bardo	humanoide	altanero	es calvo	conce un secreto peligroso	Alguacil	Aliarse	Ara	Aparato	Asedio	Archidemonio	Ciudad	un círculo de convocación	está todo viejo	sótano	un fuego	de fierro	de fierro	celeste	un alguacil	quiere romper un pacto con	saber	caballeros	ir bien armados	lecturas	con dos naves	viene en un tarro de peltre		crea ansiedad	Te encuentras en	el arroyo	de la primavera	el árbol	último|última|últimos|últimas	Szorktilur
14	esconder	un mensaje	un dragón	sólo es una distracción	un cazador	romper una maldición	un malhechor	su esposo/a	pruebas	no puede dejar de hacerlo	unas mazmorras	el cinturón	eterno	del atardecer	El Arnés	Asado	una crema	tocino	enebro	un grog	polen	Foso	Arrastrar	Hongo	noble	tíflin	altivo	es canoso	conoce a todo el mundo	Aliado	Alimentar	Arboleda	Árbol	Asesinato	Archidiablo	Clan	un rastrillo	está todo en ruinas	gran salón	una vela	de plomo	de plomo	negro	un aliado	quiere hacer un trato con	comercio	magos	llevar ropas de viaje	postración ante ídolos	con dos naves en cruz	tiene consistencia lechosa		potencia la magia	Caminas por	el mar	del verano	el archimago	eterno|eterna|eternos|eternas	Dolmas
15	activar	un pergamino	un monstruo	el objetivo está bien protegido	una niña	vencer	un hada maligna	su prometido/a	emprender un viaje	perderá a sus seres queridos	un lago	el colgante	eléctrico	de ocaso	El Arpa	Astado	un ajillo	panceta	canela	un hidromiel	miel	Estacas	Atraer	Botón	plebeyo	dracónido	altruísta	es cargado de hombros	conoce cierto rumor	Alquimista	Alterar	Arena	Arbusto	Ataque	Arconte	Clandestinidad	una palanca	hay una trampa	mina	una llama	de oro	de oro	marino	un alquimista	quiere traicionar a	mercadeo	hechiceros	vestir túnicas ceremoniales	ofrendas florales	con naves paralelas	tiene consistencia grasienta		reduce la magia	Por aquí llegas a	el estrecho	del otoño	el arco	eléctrico|eléctrica|eléctricos|eléctricas	Eririss
16	desactivar	un castillo	una criatura mágica	el objetivo es más poderoso de lo que parece	un huérfano	conquistar	un diablillo	su amigo fiel	un hada	traicionará a sus aliados	el mar	el amuleto	tronante	de la noche	El Arpón	Asustado	un encebollado	morro	perejil	un aguardiente	lavanda	Monstruo	Arrojar	Palanca	mercader	semielfo	amable	es cejijunto	conoce la ubicación de un tesoro	Ambicioso	Alzar	Arrecife	Arcano	Auge	Arpía	Clero	una máquina que no funciona	está protegido	patio	una guadaña	de plata	de plata	blanco	un ambicioso	quiere evitar ser traicionado por	conocimiento	brujos	llevar túnicas de cuero	ofrendas de bienes	con dos naves en T	tiene consistencia aceitosa		fomenta la vida		la isla	del invierno	el arcón	tronante|tronante|tronantes|tronantes	Thanelor
17	usar	un pueblo	un humanoide	el objetivo en realidad no es el objetivo	un guerrero	esconder algo	un demonio	su consejo	un espíritu	comprenderá el valor de la amistad	un barco	el anillo	salvaje	de la eternidad	El Asado	Avaro	una brocheta	coditos	curry	un coñac	arroz	Caída	Clavar	Gema	artesano	semiorco	amistoso	es ceñudo	conoce muchos chismorreos	Amigo	Ambicionar	Atalaya	Arco	Auxilio	Azotamentes	Colonia	un portal, pero está cerrado	hay un guardián	dormitorio	una calavera		de armiño	argénteo	un amigo	sospecha de	sabiduría	guerreros	vestir hábitos de lana	quemar objetos	en cuadrado	es un líquido opaco		prduce vómitos		el monte	del reposo	el arpa	salvaje|salvaje|salvajes|salvajes	Ahunur
18	inutilizar	una ciudad	un señor de la guerra	se encuentra en un lugar remoto	un mago bondadoso	espiar a alguien	un visir avieso	la ley	un deseo	descubrirá el amor de su familia	una torre	la diadema	divino	del conocimiento	El Ataúd	Avinagrado	un parrillada	muslitos	cúrcuma	una sidra	tomate	Abrojos	Destruir	Moneda	sabio	semidemonio	animoso	es cetrino	conoce un secreto de alguien	Anciano	Amenazar	Avenida	Arena	Baile	Bandido	Comando	un portal abierto a otro plano	los objetos se animan	almacén	un cráneo		de vero	violeta	un anciano	quiere investigar a	inteligencia	gladiadores	vestir con colores vivos	destruir objetos	formando un atrio	es un líquido traslúcido		causa diarreas		la llanuras	del águila	el artefacto	divino|divina|divinos|divinas	Ummiamom
19	traicionar	una aldea	un tirano	hay trampas protegiendo el lugar	una bruja buena	enseñar	un noble ambicioso	la tradición	polvo de estrellas		un volcán	la carta	feérico	de la razón	El Barco	Azul	una tortilla	alitas	orégano		fresas	Hoja	Romper	Joya	paladín	enano de las montañas	antisociable	es cojitranco	debe lealtad a un patrón poderoso	Animal de granja	Anunciar	Bajos fondos	Arma	Banquete	Basilisco	Compañía	un teleportador	hay una neblina	cripta	un caballo rampante			turquesa	un antepasado	quiere seguir a	lógica	paladines	vestir con hábitos discretos	flagelación	con fuentes	no tiene olor		da mucha hambre		el pantano	del buitre	el atardecer	feérico|feérica|feéricos|feéricas	Krelil
20	capturar	un lago	un alquimista	hay guardianes vigilando	un herrero	conseguir cierto objeto	un lobo terrible	todos	una flor única		el desierto	el mazo	silvano	de la locura	El Barril	Bailarín	un revuelto	menudillos	albahaca		bayas	Filo	Abrir	Bajorrelieve	caballero	svirfneblin	apagado	es corpulento	desea desesperadamente conseguir un objeto	Antepasado	Apaciguar	Banco	Armadura	Batalla	Behir	Congregación	un acertijo	hay una maldición	antecámara	un león rampante			encarnado	un archimago	quiere espiar a	relaciones	nobles	vestir túnicas lujosas	automutilación	con muchas flores	tiene un olor fuerte		da mucha sed		la ciénaga	del cuervo	el atrio	silvano|silvana|silvanos|silvanas	Alkur
21	llevar	una isla	un artesano	los monstruos infestan el lugar	un mozo de cuadra	buscar algo especial	un tigre hambriento		un animal		un templo	la pluma	sagrado	del bosque	El Basilisco	Barbudo	un pastel	hígado	alcaparras		anís	Sierra	Cerrar	Puerta secreta	escudero	derro	apasionado	es desdentado	dice conocer a alguien famoso	Archimago	Aparecer	Baños	Artefacto	Broma	Bersérker	Consejo	un mecanismo que no funciona	los monstruos rondan cerca	cámara	un grifo rampante			bermellón	un armero	está siendo infiel a	diplomacia	agricultores	portar cetros ceremoniales	ayuda a otros	integradas con la vegetación	emite vapor		atrae a los insectos		los yermos	del halcón	el báculo	sagrado|sagrada|sagrados|sagradas	Paulel
22	guiar	una montaña	un sabio	hay peligros mágicos que sortear	un vagabundo	el poder	un zorro astuto		una montura		una catedral	el árbol	sacrílego	de las arenas	El Bastardo	Bienvenido	una empanada	riñones	nata		loto	Soga	Atrapar	Cortinas	devoto	duérgar	aplicado	es desgarbado	duerme demasiado	Armero	Aprender	Barbacana	Artilugio	Cacería	Bestia	Conspiración	un mecanismo con trampa	los monstruos murieron aquí	cueva	un dragón			beige	un arquero	está siendo infiel con	camino	ganaderos	llevar hábitos de trabajo	ayuda a la comunidad	con cultivos	emite gas		duerme las extremidades		los altos	del azor	el bastón	sacrílego|sacrílega|sacrílegos|sacrílegas	Orileim
23	conducir	un santuario	un superviviente	requiere investigación para avanzar	un aventurero	el conocimiento	un cuervo		un libro		un túnel	el martillo	broncíneo	del frío	El Bastón	Bizco	unas empanadillas	pulpo	arroz		amapola	Cuerda	Congelar	Baúl	cultista	elfo silvano	aplicado	es elegante	es abstemio	Arquero	Apresar	Barco	Báculo	Caída	Bestia barbotante	Criminales	un mecanismo que hace algo	unos aventureros murieron aquí	caverna	una mantícora			anaranjado	un artesano	quiere ser amado por	viaje	pastores	ir desnudos	trabajo social	con un patio central	tiene burbujas		entumece los músculos		la plaza	del gorrión	el bien	broncíneo|broncínea|broncíneos|broncíneas	Blothlar
24	proteger	una capilla	un esclavo	otra persona tiene la información	un monje	conseguir tesoro	un bufón bromista		una varita		el campo	el tintero	nublado	del fuego	El Baúl	Blanco	unas croquetas	carpa	legumbres		grano	Hilo	Calentar	Arcón	acólito	elfo salvaje	aprensivo	es enano	es adicto a alguna droga	Artesano	Aproximarse	Barracones	Bandera	Calamidad	Breza movediza	Dinastía	una palanca que no hace nada	hubo una batalla	distribuidor	un kraken			amarillento	un artista	está enamorado de	sendero	orfebres	ir casi desnudos	trabajo a la comunidad	en forma circular	tiene trocitos flotando				la fortaleza	de la perdiz	el bosque	nublado|nublada|nublados|nubladas	Yulathon
25	defender	una catedral	un fugitivo	está bien escondido	un clérigo	traicionar a alguien	un tramposo		un cetro		las nubes	el icor	helado	del viento	El Bosque	Borracho	un salteado	barbo	lentejas		roble	Sedal	Quemar	Arcada	monje	gnoll	arrogante	es encogido	es adorador de un dios pagano	Artista	Arañar	Barriada	Baraja	Calor	Brujo	Ejército	un botón que activa una trampa	huele raro	comedor	un pulpo			granate	Asmodeo	odia profundamente a	recorrido	mercaderes	permanecer ocultos	estudio	formando un rectángulo	tiene polvillo en suspensión				el castillo	del mirlo	el brazal	helado|helada|helados|heladas	Halph
26	mantener	la iglesia	un no-muerto	deberán enfrentarse al calor del desierto	un montaraz	desenmascarar a un impostor	un genio traicionero		alas		el cielo	la sustancia	ardiente	del rayo	El Caballo	Borroso	un flambeado	lubina	judías		saúco	Piedras	Abrasar	Silla	ladrón	gran trasgo	asustadizo	es encorvado	es aficionado al deporte	Asmodeo	Arrancar	Barricada	Barca	Cambio de estación	Bugbear	Embajada	un botón que activa una alarma	huele a podrido	cocina	una hidra			violáceo	un astrólogo	teme a	aprendizaje	peregrinos	hacer voto de castidad	enseñanza	formando un pentágono					la torre	del búho	el brazo	ardiente|ardiente|ardientes|ardientes	Umverer
27	negociar	el ayuntamiento	un ladrón	deberán enfrentarse al frío de las cumbres	un druida	desentrañar un misterio	un consejero ambicioso		un empujoncito		la luna	el corazón	infinito	del archimago	El Camino	Brillante	una tarta	merluza	espinacas		setas	Rocas	Freír	Trono	pícaro	trasgo	atento	es enjuto	es aficionado al licor	Astrólogo	Arriesgar	Barrio	Barcaza	Campeonato	Caballero de la muerte	Empresa	un botón que abre algo	algo se oculta en las sombras	alacena	un pez			morado	un avatar	está enemistado con	cultura	viajeros	hacer voto de obediencia	aprendizaje	formando un polígono					el cabo	del oso	el brebaje	infinito|infinita|infinitos|infinitas	Jhehregh
28	convencer	un pozo	un asesino	deberán enfrentarse a los riesgos de los pantanos	un pájaro	resolver un enigma	una urraca ladrona		un guía		un carruaje	el cuerno	mortal	del hierofante	El Campo	Brumoso		pescado de río	acelgas		hongos	Rampa	Escaldar	Butaca	bárbaro	osgo	atrevido	es fibroso	es amante del arte	Avatar	Asegurar	Barrio aristocrático	Barco	Captura	Calavera	Esclavos	un botón inútil	algo está invisible	cuadra	unas olas			ceniza	un aventurero	desea enfermizamente a	libros	incultos	hacer voto de pobreza	adoración de símbolos	en forma de triángulo					la bahía	del perro	el brujo	mortal|mortal|mortales|mortales	Thurem
29	disuadir	su casa	un noble	deberán viajar a través de la jungla	un gato	el amor	un fuego fatuo		su verdadero amor		un río	la flauta	mortífero	del clérigo	El Castillo	Burlado		pescado	puerro		enebro	Tobogán	Corroer	Orbe	herrero	eladrín	autoritario	es fornido	es apasionado de la música	Aventurero	Asesinar	Barrios bajos	Barril	Carnaval	Cambiaformas	Escuadra	una cama	la gravedad funciona raro	granero	una espiga			óxido	una bailarina	desea envenenar a	magia	cultos	ir enjoyados	adoración de estatuas	en lugares remotos					la playa	del gato	el cáliz	mortífero|mortífera|mortíferos|mortíferas	Urban
30	liberar	una mansión	un primogénito	deberán viajar a otro plano	un perro	dominar el mundo	un impostor		una gema		un sótano	el laberinto	letal	de los dioses	El Catalejo	Cálido		pescado de roca	calabacín		tomillo	Trampolín	Espolvorear	Corona	marinero	elfo lunar	avaricioso	es fuerte	es ateo	Bailarina	Asustar	Bastión	Bastón	Carrera	Cambion	Escuela	un dosel	los objetos levitan	escaleras	un puño			brillante	un bandido	tiene miedo de	nigromancia	malhechores	hacer voto de silencio	bautismos	en lugares frecuentados					la costa	del lobo	el camino	letal|letal|letales|letales	Kerlar
31	rescatar	el cementerio	un prometido	deberán resolver un enigma	un tigre	gobernar 	un cambiaformas		a su pueblo		una choza	la roca	asesino	del fin del mundo	El Cayado	Cerrado		solomillo	patatas fritas		laurel	Peso	Tirar	Celda	capitán	enano salvaje	avaricioso	es gordo	es bueno consiguiendo cosas	Bandido	Atacar	Bosque	Baúl	Castigo divino	Celestial	Familia	un pozo	el techo puede derrumbarse	laboratorio	un guantelete			apagado	un bandolero	amenaza a	muerte	ladrones	lucir tatuajes	caminar sobre ascuas	en lugares ocultos					el templo	del león	el caos	asesino|asesina|asesinos|asesinas	Prelbuth
32	apresar	una lápida	un hijo	sólo un acertijo revelará el camino	un cuervo	vivir	un traidor		a su gente		un camino	la piedra	ligero	de los mundos	El Centeno	Ciego		cabra	patata asada		almendra	Rastrillo	Sellar	Llave	pirata	aasimar	ávido	es grueso	es bueno imitando a otros	Bandolero	Atraer	Buhardilla	Bebedizo	Catástrofe	Centauro	Fanáticos	un foso	el suelo puede ceder	capilla	una espada			oscuro	un bárbaro	recibe una amenaza de	muertos	bardos	lucir piercings	pruebas de fe	fuera de la vista					el arco	de la ardilla	el caos	ligero|ligera|ligeros|ligeras	Yanspron
33	explorar	una tumba	un licántropo	deberán primero cumplir otra misión	un búho	la redención			a quien le crió			el monolito	oculto	de los planos	El Cetro	Cocinado		gambas	patata cocida		avellana	Glifo custodio	Caer	Mecanismo	escriba	hombre lagarto	bárbaro	es imberbe	es caluroso	Bárbaro	Atrapar	Burdel	Bisturí	Celebración religiosa	Cíclope	Flota	unas estacas	todo está ordenado	ala	un martillo			claro	un bardo	se siente amenazado por	resurrección	bufones	ir descalzos	pruebas de fidelidad	bajo tierra					el pasaje	de la rata	el cetro	oculto|oculta|ocultos|ocultas	Dathendum
34	descubrir	una mina	un gigante	deberán convencer a otra persona	un escudero	la curación			un árbol			el obelisco	secreto	del mal	El Cincel	Cojo		calamares	puré de patatas		nueces	Palabra de poder	Soltar	Cuerda	embajador	hombre lobo	basto	es jorobado	es cantarín	Bardo	Auxiliar	Cabaña	Botas	Chantaje	Cieno	Gobierno	un cadáver	todo está muy limpio	armario	una flecha			gris	un barquero	es rival de	vida	la clase alta	cubrirse todo el cuerpo	memorizar pasajes	en cuevas naturales					el pasadizo	del tiburón	el cielo	secreto|secreta|secretos|secretas	Rulven
35	cerrar	un túnel	un capitán	deberán viajar a través del bosque	un cocinero	perseguir a alguien			agua bendita			el círculo	misterioso	del bien	El Cinturón	Congelado		jamón	brotes		vainilla	Otro plano	Corromper	Cadena	posadero	planodeudo	bonachón	es larguirucho	es ciego	Barquero	Averiguar	Cabaret	Brazalete	Circo	Coatl	Gremio	una máscara	todo parece algo que no es	sala de estar	un arco			cobalto	un bribón	quiere apresar a	salud	la clase media	afeitarse la cabeza	cocinar	a gran altura					los muelles	del pez espada	el cinturón	misterioso|misteriosa|misteriosos|misteriosas	Ommgi
36	bloquear	una cueva	un pirata	deberán viajar a través de las estepas	un sastre	cazar 			una reliquia sagrada			el camino	onírico	del caos	El Clavo	Cornudo		oreja	tomate		caña	Otro lugar	Enfermar	Magia	tabernero	trasgoide	bondadoso	es malencarado	es cojo	Bribón	Ayudar	Calabozo	Brebaje	Coacción	Cobrador	Grupo	un bajorrelieve	una ilusión cubre la verdad	barracón	una ballesta			pardo	un brujo	quiere escapar de	bondad	la clase baja	dejarse crecer la barba	crear algo	en torres					el puerto	del rape	el círculo	onírico|onírica|oníricos|oníricas	Tard
37	conquistar	una caverna	un contrabandista	deberán escalar las montañas	un plebeyo	coleccionar			un arma mágica			la pirámide	leal	del demonio	El Clavo	De acero		lengua	ajo		limón	Precipicio	Matar	Hueso	trilero	bárbaro	bondadoso	es manco	es cursi	Brujo	Bucear	Callejón	Cabello	Colonización	Cocatriz	Guarnición	un altar	no hay salida	sala de juegos	una torre			grisáceo	un bruto	quiere acercarse a	maldad	esclavos	ir siempre afeitados	trabajos artesanales	en forma de torre					el pozo	del salmón	el clérigo	leal|leal|leales|leales	Verlaco
38	limpiar	una cascada	un brujo	tendrán que sumergirse bajo el agua	un noble	completar			entender sus deseos			la cámara	traicionero	del diablo	El Clérigo	De bronce		rabo	guisantes		naranja	Esfera de aniquilación	Confundir	Mesa	estafador	salvaje	bribón	es moreno	es de familia humilde	Bruto	Buscar	Cámara	Cadáver	Cometa	Coloso	Gueto	un montón de agujeros	corre el viento	cuarto	un castillo				un bufón	quiere asesinar a	curación	enanos	automutilarse	masoquismo	como fortalezas					el valle	de la trucha	el clima	traicionero|traicionera|traicioneros|traicioneras	Daen
39	asegurar	un río	un chamán	tendrán que atravesar las tierras baldías	un consejero	vivir aventuras			vencer sus miedos			la tumba	acuático	del fauno	El Cofre	De cobre		pezuñas	espárragos		melón	Agujero	Cambiar	Comida	príncipe	indígena	brillante	es negro	es de familia noble	Bufón	Cabalgar	Camino	Cadena	Competición	Constructo	Horda	cortinas	huele a comida	balcón	un trimonte				un caballero	teme un asesinato por parte de	protección	gnomos	dejarse crecer las uñas	castigos	como catedrales					la hondonada	de la carpa	el códice	acuático|acuática|acuáticos|acuáticas	Aldus
